ID,ArticleURL,ImageURL,TimeStamp,TempDist,KeywordInHeadline,RichContentCaption,FloodSense,ArtClass,ArtSubclass,ArtClassPred,ImgClass,ImgClassPred,BischkeFloodRelated
flood0011,https://www.bnionline.net/en/news/mon-state/item/3489-mon-state-community-forest-initiative-tangled-in-laws-lack-of-interest.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/2910b9a0444137dcb0370ef6664fc36d.jpg?itok=F9p7riGo,2017-09-15T05:34:19Z,N,False,True,Water,TX,TX_forest_wetland,TX,IX,<NA>,True
flood0012,https://www.bnionline.net/en/news/shan-state/item/454-locals-protest-mong-ton-hydropower-project.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/f84d217853d263e771f2d4ffc4c6fcef_1.jpg?itok=U2hdQAjg,2015-04-09T15:15:26Z,N,False,True,Water,TX,TX_dam,TX,IX,<NA>,False
flood0013,https://www.bnionline.net/en/news/shan-state/item/478-high-winds-cause-casualties-and-damage-in-lashio.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/937f929d420ab20a5c9d96a1ab9e2021_2.jpg?itok=iD5oocpe,2015-04-29T14:05:40Z,N,False,True,Water,TX,TX_weather,TF,IX,<NA>,False
flood0014,https://www.bnionline.net/en/news/shan-state/item/559-shan-community-based-organizations-demand-an-end-to-construction-of-upper-salween-dam.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/c910db2cadeb7dd44121f01e6d7b155d_3.jpg?itok=HHqdwk7f,2015-06-10T13:19:31Z,1,False,True,Water,TX,TX_dam,TX,IX,<NA>,False
flood0015,https://www.bnionline.net/en/news/shan-state/item/729-over-23-000-shan-state-residents-sign-petition-against-salween-dams.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/549dfa53895c3908b16352e73edc2d26_2.jpg?itok=DdO6WIFX,2015-08-26T13:18:25Z,1,False,True,Water,TX,TX_dam,TX,IX,<NA>,False
flood0016,https://www.bnionline.net/en/news/shan-state/item/737-pictures-reveal-extent-of-flood-destruction-in-shan-state.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/46276ded2fdd3245a9a8536c50ae55dd_3.jpg?itok=poiphL77,2015-08-27T11:55:16Z,N,True,True,Water,TA,TA,TA,ID,IF,False
flood0017,https://www.bnionline.net/en/news/shan-state/item/906-eastern-shan-state-flood-disaster-was-man-made.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/55a9ec53054b140fa3784d6b9508fcf5_2.jpg?itok=sUY1cCoE,2015-10-08T05:20:10Z,N,True,True,Water,TA,TA,TF,IF,IF,False
flood0018,https://www.bnionline.net/en/news/mizzima/item/664-myanmar-death-toll-continues-to-rise.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/5003d452a8da016f3ed02a6385cf54e8.jpg?itok=m4OzkZx1,2015-08-07T03:51:38Z,N,False,True,Water,TA,TA,TA,IX,IF,False
flood0019,https://www.bnionline.net/en/news/mizzima/item/1022-prudence-foundation-partnering-with-actionaid-launch-post-flood-relief.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/dd5c623449414fc88253ba0a5cd4d3e1.jpg?itok=_8XvZH6x,2015-10-27T06:28:34Z,1,True,True,Water,TA,TA,TA,IF,IF,True
flood0020,https://www.bnionline.net/en/news/mizzima/item/1371-ingos-push-disaster-risk-education-in-myanmar.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/2cc16393ec8cbc5ece3c02a1da1f0778.jpg?itok=0yz5skId,2015-12-23T05:33:36Z,3,False,True,Water,TX,TX,TG,ID,<NA>,False
flood0021,https://www.bnionline.net/en/news/mizzima/item/1535-aung-san-suu-kyi-meets-china-counterpart-in-fm-debut.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/850e17edce6779cc111d239710be36ab.jpg?itok=T_1VJrA7,2016-04-07T05:07:12Z,1,False,True,Other,TX,TX_politics,TX,IP,<NA>,False
flood0022,https://www.bnionline.net/en/news/mizzima/item/1542-myanmar-s-suu-kyi-gets-new-role-as-special-adviser.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/5622634ef28273566abb3f639e6e3780.jpg?itok=t0ZTlAK_,2016-04-08T15:42:09Z,1,False,True,Other,TX,TX_politics,TX,IP,<NA>,False
flood0024,https://www.bnionline.net/en/news/mizzima/item/1805-flood-inundates-over-4-000-houses-in-kawlin-kills-two-in-wuntho.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/bba44bd6959075a5902aaeb4b8c8f0c9.jpg?itok=d2njo9Wf,2016-06-13T04:24:05Z,1,True,True,Water,TF,TF,TX,IF,<NA>,True
flood0025,https://www.bnionline.net/en/news/mizzima/item/1923-dam-in-tonzang-township-overflows-forcing-evacuation.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/7f337f7b79bbf91f6a590333793c25a6.jpg?itok=vM4qq6Uq,2016-07-04T12:09:29Z,N,False,True,Water,TA,TA,TA,IX,<NA>,True
flood0026,https://www.bnionline.net/en/news/mizzima/item/1946-child-rights-organisation-prepares-flood-response-across-rakhine-state.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/0561feaa86a9d43b7dc634e81b54e049.jpg?itok=T1klcZn0,2016-07-08T10:45:27Z,N,True,True,Water,TP,TP,TA,IF,IF,True
flood0028,https://www.bnionline.net/en/news/mizzima/item/1991-myanmar-to-receive-us-200-million-in-financing-for-post-disaster-recovery-and-reconstruction.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/6be0526a455e1f89d6e59c9c6f787ce8.jpg?itok=qINhcCAk,2016-07-18T05:58:18Z,3,False,True,Water,TL,TL,TX,IF,<NA>,True
flood0029,https://www.bnionline.net/en/news/mizzima/item/2023-unfpa-welcomes-release-of-myanmar-census-data-on-religion.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/8adaab906335a500d629a55f4f3ed11a.jpg?itok=IXtwdFNQ,2016-07-22T07:19:00Z,1,False,True,Water,TG,TG,TX,IX,<NA>,False
flood0030,https://www.bnionline.net/en/news/mizzima/item/2336-france-allocates-1-4-m-aid-to-rakhine-chin-and-kachin-states.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/e26eae0fe5e1bf16404637e19c0f95b4.jpg?itok=YRtQY-_c,2016-09-26T13:49:27Z,3,False,True,Water,TX,TX,TX,IL,<NA>,False
flood0031,https://www.bnionline.net/en/news/mizzima/item/2453-residents-in-injanyang-call-for-permanent-cancellation-of-myitsone-project.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/9434eda52ccf0ef774bf909acfb7aa43.jpg?itok=TCO2Ddyx,2016-10-31T06:09:08Z,3,False,True,Water,TX,TX_rohingya,TX,IX,<NA>,False
flood0032,https://www.bnionline.net/en/news/mizzima/item/2675-myanmar-government-failing-to-protect-critics-from-arrest-jail-hrw.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/8b0ee59f847d6688f53f0c83b3fcc11b.jpg?itok=sTolhFVC,2017-01-26T03:37:02Z,N,False,True,Water,TX,TX_violence,TX,IP,<NA>,False
flood0034,https://www.bnionline.net/en/news/mizzima/item/3400-bangladesh-sends-back-rohingya-boat-carrying-injured.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/658c7961f69fb5642a121b7f8e47a62f.jpg?itok=lBlhiNZN,2017-08-22T07:41:20Z,N,False,True,Water,TX,TX_mining,TX,IX,<NA>,False
flood0034,https://www.bnionline.net/en/news/mizzima/item/3447-ingos-issue-a-statement-on-the-myanmar-violence.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/47d514db89ba887685b2b44bb3616e00.jpg?itok=JoY1TCeG,2017-09-04T02:48:55Z,1,False,True,Water,TX,TX_mining,TX,IX,<NA>,False
flood0035,https://www.bnionline.net/en/news/mizzima/item/3449-foreign-consultants-help-with-cleaner-mining-practices.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/81656e8b4a61d80afebb1c4f0a61f48f.jpg?itok=jugZ0RjZ,2017-09-04T02:56:10Z,2,False,True,Water,TG,TG,TX,IX,<NA>,False
flood0037,https://www.bnionline.net/en/news/mizzima/item/3450-foreign-consultants-help-with-cleaner-mining-practices.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/6fea5c4b1fab94f3aac037afc504df8a.jpg?itok=QOLawmXR,2017-09-04T04:05:48Z,2,False,True,Other,TX,TX,TX,IX,<NA>,False
flood0038,https://www.bnionline.net/en/news/mizzima/item/3507-myanmar-vice-president-henry-van-thio-speaks-to-the-un-general-assembly.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/8c4a4c31fcab370d9a46cb48b3a54fff.jpg?itok=gH-0LqRs,2017-09-21T07:19:09Z,1,False,True,Water,TX,TX,TX,IP,<NA>,False
flood0039,https://www.bnionline.net/en/news/mizzima/item/3560-myanmar-photographer-minzayar-oo-to-receive-martin-adler-prize-2017.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/cb8a6a7181b791c9ee7b93a30025859d.jpg?itok=l8K9b9SQ,2017-10-23T03:57:39Z,N,False,True,Water,TX,TX_agriculture,TX,IP,<NA>,False
flood0040,https://www.bnionline.net/en/news/mizzima/item/3570-myanmar-photographer-minzayar-oo-receives-martin-adler-prize.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/d820a3ca719f19cf44701fe932e22f2d.jpg?itok=uyj9JpPa,2017-10-25T14:24:35Z,3,False,True,Water,TX,TX_wildlife,TX,IP,<NA>,False
flood0041,https://www.bnionline.net/en/opinion/interview/item/2639-amdp-s-candidate-nai-win-htut.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/5fe9bb5d513c414f783dc3832edbca09.jpg?itok=R1SHhR2V,2017-01-18T03:42:03Z,N,False,True,Water,TX,TX,TX,IP,<NA>,False
flood0043,https://www.bnionline.net/en/opinion/interview/item/2908-u-aung-kyi-thein-many-farmers-on-the-island-lose-much-of-their-rice-crop-every-year-so-to-address-that-i-want-to-work-to-educate-them.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/05956f3d84fecaec4433f74b2cec5d39.jpg?itok=WZd5lCZK,2017-04-04T12:23:02Z,N,False,True,Water,TA,TA,TA,IP,<NA>,False
flood0044,https://www.bnionline.net/en/news/than-lwin-times/item/3196-new-wildlife-sanctuary-to-be-established-in-mon-and-kayin-states.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/7d2b44e1acb81d8cdd76dd8b774e17df.jpg?itok=_wrzhlVA,2017-06-30T13:43:28Z,N,False,True,Water,TA,TA,TF,IX,<NA>,False
flood0045,https://www.bnionline.net/en/news/project-conditions-failure-sees-world-bank-block-road-rebuild-chin-state,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/343c2f85148c61783280b1b9d93417c5_xl.jpg?itok=wAVA8dFW,2017-11-02T08:00:00Z,1,False,True,Water,TX,TX,TX,IX,<NA>,False
flood0046,https://www.bnionline.net/en/news/flash-floods-expected-hit-mon-state,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/flash-floods-expected-to-hit-mon-state.jpg?itok=LDlY6vx7,2018-06-18T08:15:00Z,N,True,True,Water,TA,TA,TX,IP,<NA>,False
flood0047,https://www.bnionline.net/en/news/flood-damages-khami-villages-ponnagyun-township,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/kami_ethnic_villages_damanged_by_storm.png?itok=BZm4KdQQ,2018-06-19T09:11:00Z,N,True,True,Water,TA,TA,TA,ID,IF,False
flood0048,https://www.bnionline.net/en/news/flash-floods-affect-over-3500-households-mon-state,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/mon_state_chief_minister_meeting_locals_after_flooded.png?itok=0WmI0Gs3,2018-06-19T09:26:00Z,N,True,True,Water,TF,TF,TF,IP,IP,False
flood0049,https://www.bnionline.net/en/news/peace-public-talk-postponed-ye-due-flood,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/peace_talk.jpg?itok=JwOZVbsw,2018-06-19T13:00:00Z,N,True,True,Water,TF,TF,TA,IX,<NA>,False
flood0050,https://www.bnionline.net/en/news/mpt-offers-30-minute-free-calls-food-affected-areas,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/flood_victims_in_karen_state_1_0.jpg?itok=ipLxbKJe,2018-08-06T08:25:00Z,N,True,True,Water,TF,TF,TT,IX,<NA>,False
flood0051,https://www.bnionline.net/en/news/social-welfare-minister-says-flood-rehabilitation-will-be-faster,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/mna_5.jpg?itok=fPdE5f6w,2018-08-06T10:58:00Z,N,True,True,Water,TF,TF,TA,IP,IP,False
flood0052,https://www.bnionline.net/en/news/flooding-affects-15000-people-30-villages-thaton-township,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/flooding_mon_state_0.jpg?itok=AlnbhS07,2018-08-06T11:23:00Z,N,True,True,Water,TX,TX_dam,TX,IF,IF,True
flood0053,https://www.bnionline.net/en/news/fishing-community-mon-state-evacuated-after-flooding,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/flooded-street-at-hpa-an.jpg?itok=nmj51ziR,2018-08-15T03:55:00Z,1,True,True,Water,TA,TA,TX,IF,IF,True
flood0054,https://www.bnionline.net/en/news/new-flood-relief-camps-opened-kayin-state,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/temporary-evacuation-center-at-hpa-an.jpg?itok=FXNym0S6,2018-08-24T08:07:00Z,1,True,True,Water,TX,TX,TX,IX,<NA>,False
flood0055,https://www.bnionline.net/en/news/lwin-river-flood-damages-ei-tu-hta-idp-camp,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/flooding_1_0.jpg?itok=zVUAmsnr,2018-09-10T04:56:00Z,N,True,True,Other,TX,TX,TX,IF,IF,True
flood0058,https://www.bnionline.net/en/news/deputy-minister-upper-yeywa-dam-construction-will-continue-despite-public-objection,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/shan_newss.jpg?itok=Y8G5wKv4,2018-09-12T04:14:00Z,N,False,True,Water,TX,TX_weather,TX,IX,<NA>,False
flood0059,https://www.bnionline.net/en/news/seven-mudslide-victims-remain-missing-mae-la-oon-refugee-camp,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/landslide_and_flood_affected_karen_refugee_camp_0.jpg?itok=qz-za86L,2018-09-20T04:26:00Z,N,False,True,Water,TX,TX,TX,IX,<NA>,False
flood0060,https://www.bnionline.net/en/news/media-report-world-peace-summit-bni-engages-global-peace-media-network,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/world_peace_s_korea.jpg?itok=DuUdjgs4,2018-09-20T04:34:00Z,N,False,True,Other,TX,TX,TA,IP,<NA>,False
flood0061,https://www.bnionline.net/en/news/enlightenment-or-entitlement-jack-dorseys-irresponsible-tweets,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/unnamed32_1.jpg?itok=LLgveF_J,2018-12-20T10:16:00Z,2,False,True,Other,TX,TX,TX,IP,<NA>,False
flood0062,https://www.bnionline.net/en/news/myanmar-announces-national-environment-and-climate-change-policies,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/world-environment-day_0.jpg?itok=TmlTYcvo,2019-06-06T08:49:00Z,1,False,True,Water,TX,TX,TX,IP,<NA>,False
flood0063,https://www.bnionline.net/en/news/more-cyclone-shelters-be-built-ayeyawaddy-region,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/more-cyclone-shelters-to-be-built-in-ayeyawaddy-region.jpg?itok=ZykDUDRG,2019-07-02T08:49:00Z,N,False,True,Water,TG,TG,TX,IX,<NA>,False
flood0064,https://elevenmyanmar.com/news/vietnams-northern-and-central-provinces-enter-heat-wave-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/hot.jpg?itok=yp0BY0Bk,2019-04-18T22:30:00Z,N,False,True,Water,TT,TT,TT,IX,<NA>,False
flood0065,https://elevenmyanmar.com/news/coxs-bazar-forests-in-grave-danger-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/coxs_bazar_forest_in_danger.jpg?itok=18-hYt1p,2019-04-18T23:30:00Z,2,False,True,Water,TT,TT,TX,IX,<NA>,False
flood0066,https://elevenmyanmar.com/news/temblor-kills-8-in-philippines-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/23clark.jpg?itok=fcGLtWUT,2019-04-23T00:00:00Z,1,False,True,Water,TG,TG,TX,ID,<NA>,False
flood0067,https://elevenmyanmar.com/news/trash-hoarders-increasingly-comprised-of-working-age-adults-in-japan-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/screen_shot_2562-04-25_at_08.31.56.png?itok=8E8kVTnr,2019-04-25T01:30:00Z,N,False,True,Water,TT,TT,TT,IX,<NA>,False
flood0068,https://elevenmyanmar.com/news/dhaka-flood-flow-zones-urban-sprawl-eats-up-57pc-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/dhaka-city_1.jpg?itok=oZUXVU6G,2019-04-26T00:15:00Z,N,True,True,Water,TT,TT,TX,IX,<NA>,False
flood0069,https://elevenmyanmar.com/news/disaster-incidents-are-on-the-rise-in-nepal-asianewsnetwork,https://epaper-beta.ekantipur.com/files/epaper/kathmandupost/text/2019-04-27/2019-04-28_073624_1556416329.png,2019-04-29T00:30:00Z,1,False,True,Water,TX,TX,TX,ID,<NA>,False
flood0070,https://elevenmyanmar.com/news/dmh-warns-locals-to-prepare-for-the-possible-impacts-of-cyclone-fani,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/daily11-april29-2019-akk02.jpg?itok=WKZtb7-R,2019-04-29T10:00:00Z,N,False,True,Water,TX,TX,TX,IX,<NA>,False
flood0071,https://elevenmyanmar.com/news/malaysian-villagers-on-shaky-ground-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/screen_shot_2562-04-30_at_06.57.27.png?itok=RLZUqXJg,2019-04-30T00:00:00Z,N,False,False,Water,TX,TX_weather,TX,IX,<NA>,False
flood0072,https://elevenmyanmar.com/news/slow-temperature-rise-to-take-heavy-toll-on-pakistan-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/5cc82d406b5b7.jpg?itok=tyazgUpB,2019-05-02T01:45:00Z,N,False,True,Water,TX,TX_agriculture,TX,IF,<NA>,True
flood0073,https://elevenmyanmar.com/news/cyclone-fani-to-hit-puri-between-8-and-10-am-today-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/fani-2.jpg?itok=ELJyywa8,2019-05-03T00:45:00Z,1,False,True,Other,TX,TX,TX,IX,<NA>,False
flood0074,https://elevenmyanmar.com/news/furious-fani-poised-to-hit-bangladesh-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/cyclone_fani_1.jpg?itok=4JZFkaIL,2019-05-03T01:15:00Z,1,False,True,Water,TP,TP,TX,IX,<NA>,False
flood0075,https://elevenmyanmar.com/news/stateless-schoolgirl-in-thailand-at-risk-of-missing-genius-olympiad-in-us-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/0b866fec4642e4f1b0ddd4450261fbf5-sld.jpeg?itok=_SgmA4LO,2019-05-08T01:45:00Z,N,False,True,Water,TL,TL,TX,IP,<NA>,False
flood0076,https://elevenmyanmar.com/news/developer-in-malaysias-kampung-besar-berapit-gets-stop-work-order-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/109087.jpg?itok=gQTnQjHy,2019-05-13T00:00:00Z,N,False,True,Water,TF,TF,TA,IX,<NA>,False
flood0077,https://elevenmyanmar.com/news/cyclone-fani-aftermath-minister-demands-special-category-status-for-disaster-prone-state,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/fani-2-2.jpg?itok=TlPE5vVS,2019-05-13T00:45:00Z,2,False,True,Water,TP,TP,TX,ID,<NA>,False
flood0078,https://elevenmyanmar.com/news/bangladeshs-farmers-not-doing-well-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/farmers_9.jpg?itok=IgdwJVXj,2019-05-20T00:15:00Z,2,False,True,Water,TX,TX,TX,IX,<NA>,False
flood0079,https://elevenmyanmar.com/news/flood-of-condolence-messages-pour-in-for-family-of-former-sultan-of-pahang-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/sultan_nazrin_sultan_selangor.jpeg?itok=eO82bzdS,2019-05-23T02:00:00Z,N,True,True,Other,TX,TX,TX,IP,<NA>,False
flood0080,https://elevenmyanmar.com/news/garbage-collection-process-from-sanchaung-drainage-to-finish-in-next-two-days,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/daily11-may24-2019-akk02.jpg?itok=blOnm01o,2019-05-24T09:45:00Z,N,False,True,Water,TT,TT,TT,IX,<NA>,False
flood0081,https://elevenmyanmar.com/news/sub-standard-construction-blamed-for-laos-dam-disaster-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/1c38d09867ade8b59ad4223f57c2d731.jpeg?itok=z6CYUyw3,2019-05-30T00:30:00Z,N,False,True,Water,TT,TT,TA,IX,<NA>,False
flood0082,https://elevenmyanmar.com/news/sarawak-floods-cause-widespread-damages-emergency-food-aid-being-deployed-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/flood_1.jpg?itok=v0iCDigs,2019-06-06T01:15:00Z,N,True,False,Water,TF,TF,TF,IF,IX,True
flood0083,https://elevenmyanmar.com/news/bangkok-governor-blames-power-problem-for-major-flooding-on-friday-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/f29433db0348e06cfe490a2a341ccf57.jpeg?itok=xSTLvIJc,2019-06-11T01:00:00Z,N,True,False,Water,TA,TA,TA,IX,<NA>,False
flood0084,https://elevenmyanmar.com/news/chinese-president-calls-for-all-out-relief-efforts-following-quake-asianewsnetwork,https://elevenmyanmar.com/sites/news-eleven.com/files/styles/news_detail_image/public/news-images/5d0938faa3103dbf57a52feb.jpeg?itok=ilsvN9E3,2019-06-19T00:15:00Z,1,False,True,Water,TF,TF,TF,IX,<NA>,False
